outcome,month,MMWR week,Age group,Vaccine product,Vaccinated with outcome,Fully vaccinated population,Unvaccinated with outcome,Unvaccinated population,Crude vax IR,Crude unvax IR,Crude IRR,Age adjusted vax IR,Age adjusted unvax IR,Age adjusted IRR,Continuity correction
case,APR 2021,202114,12-17,all_types,4,32950,27310,15994448,12.13960546,170.7467491,14.06526346,,,,0
case,APR 2021,202114,18-29,all_types,534,2354024,67219,28351677,22.68456057,237.0900317,10.45160346,,,,0
case,APR 2021,202114,30-49,all_types,1486,6849914,85688,37230385,21.69370302,230.1560943,10.60935029,,,,0
case,APR 2021,202114,50-64,all_types,1217,6800881,43509,20828144,17.8947404,208.8952333,11.67355483,,,,0
case,APR 2021,202114,65-79,all_types,1299,13424610,12391,6972605,9.676258752,177.7097656,18.365545,,,,0
case,APR 2021,202114,80+,all_types,630,4549102,2992,2337973,13.8488871,127.9741041,9.240750044,,,,0
case,APR 2021,202114,all_ages_adj,all_types,5170,34011481,239109,111715232,15.20074942,214.0343763,14.08051474,18.53976587,211.4736264,11.40648851,0
case,APR 2021,202114,all_ages_adj,Janssen,905,2113979,239109,111715232,42.81026444,214.0343763,4.999604162,38.38817547,211.4736264,5.508822022,0
case,APR 2021,202114,all_ages_adj,Moderna,1420,14840977,239109,111715232,9.568103232,214.0343763,22.36957222,17.57479873,211.4736264,12.03277657,0
case,APR 2021,202114,all_ages_adj,Pfizer,2781,17012212,239109,111715232,16.34708056,214.0343763,13.09312544,18.87317957,211.4736264,11.20498142,0
case,APR 2021,202115,12-17,all_types,4,49608,27011,15744949,8.06321561,171.5534296,21.27605634,,,,0
case,APR 2021,202115,18-29,all_types,573,2948470,61843,26596582,19.43380804,232.5223595,11.96483772,,,,0
case,APR 2021,202115,30-49,all_types,1652,8411833,80052,34388253,19.63900139,232.7887956,11.8533927,,,,0
case,APR 2021,202115,50-64,all_types,1530,8768601,39477,18902145,17.44862151,208.8493131,11.96938756,,,,0
case,APR 2021,202115,65-79,all_types,1536,15304304,12027,6397309,10.03639238,188.0009235,18.73192243,,,,0
case,APR 2021,202115,80+,all_types,722,4939921,2765,2212029,14.61561835,124.9983612,8.552382682,,,,0
case,APR 2021,202115,all_ages_adj,all_types,6017,40422737,223175,104241267,14.88518702,214.0946733,14.38306909,16.72001493,212.6739654,12.71972342,0
case,APR 2021,202115,all_ages_adj,Janssen,1141,2778728,223175,104241267,41.06195353,214.0946733,5.213942711,44.44038359,212.6739654,4.785601479,0
case,APR 2021,202115,all_ages_adj,Moderna,1641,17344822,223175,104241267,9.461036844,214.0946733,22.62909201,10.66731263,212.6739654,19.9369769,0
case,APR 2021,202115,all_ages_adj,Pfizer,3142,20251203,223175,104241267,15.51512767,214.0946733,13.79909195,16.4532462,212.6739654,12.92595776,0
case,APR 2021,202116,12-17,all_types,7,79805,23497,15492422,8.771380239,151.6676992,17.29120105,,,,0
case,APR 2021,202116,18-29,all_types,688,3849217,48057,25207411,17.87376498,190.6463143,10.66626503,,,,0
case,APR 2021,202116,30-49,all_types,1927,10523924,65676,32194698,18.31066055,203.9963226,11.14085,,,,0
case,APR 2021,202116,50-64,all_types,1741,11432489,32069,17527774,15.22852985,182.9610537,12.01436091,,,,0
case,APR 2021,202116,65-79,all_types,1584,16736385,10314,5961016,9.464409429,173.0241959,18.28156286,,,,0
case,APR 2021,202116,80+,all_types,680,5249491,2493,2113738,12.95363684,117.9427157,9.104988597,,,,0
case,APR 2021,202116,all_ages_adj,all_types,6627,47871311,182106,98497059,13.84336435,184.8847081,13.35547512,15.46837425,185.2294967,11.97472298,0
case,APR 2021,202116,all_ages_adj,Janssen,1539,4276902,182106,98497059,35.98399028,184.8847081,5.137971265,32.26904565,185.2294967,5.740160361,0
case,APR 2021,202116,all_ages_adj,Moderna,1750,19925728,182106,98497059,8.78261512,184.8847081,21.05121374,13.4659677,185.2294967,13.75537955,0
case,APR 2021,202116,all_ages_adj,Pfizer,3252,23614282,182106,98497059,13.77132703,184.8847081,13.42533713,14.4303293,185.2294967,12.83612403,0
case,APR 2021,202117,12-17,all_types,19,132813,22330,15276938,14.3058285,146.1680345,10.2173764,,,,0
case,APR 2021,202117,18-29,all_types,773,4840254,44013,24122800,15.97023627,182.453944,11.42462396,,,,0
case,APR 2021,202117,30-49,all_types,2218,12744257,58041,30491631,17.4039177,190.3505916,10.9372266,,,,0
case,APR 2021,202117,50-64,all_types,1877,14287599,26921,16396682,13.1372668,164.1856566,12.49770284,,,,0
case,APR 2021,202117,65-79,all_types,1603,17710313,8947,5612709,9.051223431,159.4060907,17.61155184,,,,0
case,APR 2021,202117,80+,all_types,782,5456894,2122,2035730,14.33049643,104.2377918,7.273843746,,,,0
case,APR 2021,202117,all_ages_adj,all_types,7272,55172130,162374,93936490,13.1805678,172.8550854,13.1143884,14.97057785,172.5558523,11.52633212,0
case,APR 2021,202117,all_ages_adj,Janssen,1807,5295084,162374,93936490,34.12599309,172.8550854,5.065203082,31.22806974,172.5558523,5.525665009,0
case,APR 2021,202117,all_ages_adj,Moderna,1917,22671999,162374,93936490,8.455363817,172.8550854,20.44324634,17.70293006,172.5558523,9.747304635,0
case,APR 2021,202117,all_ages_adj,Pfizer,3436,27147937,162374,93936490,12.65657866,172.8550854,13.65733111,13.49092903,172.5558523,12.79050923,0
case,MAY 2021,202118,12-17,all_types,10,228322,17577,15126962,4.379779434,116.1964974,26.53021667,,,,0
case,MAY 2021,202118,18-29,all_types,702,5817842,34973,23336505,12.06632975,149.8639149,12.42000824,,,,0
case,MAY 2021,202118,30-49,all_types,1887,14951632,47613,29238314,12.62069585,162.8445471,12.9029769,,,,0
case,MAY 2021,202118,50-64,all_types,1676,16990897,22483,15547890,9.864105468,144.6048306,14.65970038,,,,0
case,MAY 2021,202118,65-79,all_types,1377,18383304,7663,5333929,7.49049246,143.6652044,19.17967412,,,,0
case,MAY 2021,202118,80+,all_types,694,5598722,1879,1972360,12.39568602,95.26658419,7.685462836,,,,0
case,MAY 2021,202118,all_ages_adj,all_types,6346,61970719,132188,90555960,10.24032011,145.9738266,14.25481089,10.57348914,147.3136437,13.93235873,0
case,MAY 2021,202118,all_ages_adj,Janssen,1368,5316237,132188,90555960,25.7324871,145.9738266,5.672744575,23.72912461,147.3136437,6.208136464,0
case,MAY 2021,202118,all_ages_adj,Moderna,1660,25579139,132188,90555960,6.489663315,145.9738266,22.49328193,6.419927715,147.3136437,22.94630879,0
case,MAY 2021,202118,all_ages_adj,Pfizer,3225,31015535,132188,90555960,10.39801506,145.9738266,14.03862427,10.13958284,147.3136437,14.52857047,0
case,MAY 2021,202119,12-17,all_types,13,385230,13208,14773363,3.374607377,89.4041526,26.49320131,,,,0
case,MAY 2021,202119,18-29,all_types,635,7038322,26854,22679264,9.022036787,118.4077226,13.12427841,,,,0
case,MAY 2021,202119,30-49,all_types,1565,17370155,36863,28252853,9.009706592,130.4753187,14.48163904,,,,0
case,MAY 2021,202119,50-64,all_types,1515,19252113,17531,14904608,7.86926609,117.6213423,14.94692656,,,,0
case,MAY 2021,202119,65-79,all_types,1307,18905234,6288,5114039,6.913429371,122.9556521,17.78504494,,,,0
case,MAY 2021,202119,80+,all_types,594,5707674,1784,1921184,10.40704147,92.85940337,8.922747513,,,,0
case,MAY 2021,202119,all_ages_adj,all_types,5629,68658728,102528,87645311,8.19852066,116.9805878,14.26849949,8.041345624,119.1912381,14.82230011,0
case,MAY 2021,202119,all_ages_adj,Janssen,1068,5462818,102528,87645311,19.55034929,116.9805878,5.983554876,17.77773912,119.1912381,6.704521721,0
case,MAY 2021,202119,all_ages_adj,Moderna,1512,28224821,102528,87645311,5.356987029,116.9805878,21.83701158,5.075023821,119.1912381,23.48584801,0
case,MAY 2021,202119,all_ages_adj,Pfizer,2952,34909195,102528,87645311,8.456224785,116.9805878,13.83366582,7.907381344,119.1912381,15.07341469,0
case,MAY 2021,202120,12-17,all_types,21,640465,9856,13627332,3.278867698,72.32523578,22.05799149,,,,0
case,MAY 2021,202120,18-29,all_types,585,8562602,21107,21963785,6.832035402,96.09910132,14.06595482,,,,0
case,MAY 2021,202120,30-49,all_types,1596,19901486,29406,27186605,8.019501659,108.1635607,13.48756635,,,,0
case,MAY 2021,202120,50-64,all_types,1366,20996552,13986,14269353,6.5058301,98.01425475,15.0656032,,,,0
case,MAY 2021,202120,65-79,all_types,1132,19348476,5246,4905542,5.85058999,106.9402729,18.27854508,,,,0
case,MAY 2021,202120,80+,all_types,560,5800215,1307,1874935,9.65481452,69.70908325,7.22013697,,,,0
case,MAY 2021,202120,all_ages_adj,all_types,5260,75249796,80908,83827552,6.990052172,96.51719282,13.80779291,6.845876918,98.58655833,14.40086632,0
case,MAY 2021,202120,all_ages_adj,Janssen,963,5797055,80908,83827552,16.6118831,96.51719282,5.810129545,15.13991746,98.58655833,6.511697212,0
case,MAY 2021,202120,all_ages_adj,Moderna,1493,30421094,80908,83827552,4.907778793,96.51719282,19.66616608,8.992713316,98.58655833,10.96293798,0
case,MAY 2021,202120,all_ages_adj,Pfizer,2725,38966991,80908,83827552,6.993098338,96.51719282,13.80177829,6.573839393,98.58655833,14.99680057,0
case,MAY 2021,202121,12-17,all_types,24,886432,6330,12971670,2.707483484,48.79865122,18.02361916,,,,0
case,MAY 2021,202121,18-29,all_types,547,9938415,15446,21364003,5.503895742,72.29918476,13.13600187,,,,0
case,MAY 2021,202121,30-49,all_types,1306,22015594,22077,26329584,5.932158814,83.84864721,14.13459245,,,,0
case,MAY 2021,202121,50-64,all_types,1188,22291647,10567,13774158,5.329350496,76.71612305,14.39502302,,,,0
case,MAY 2021,202121,65-79,all_types,965,19712300,4095,4740947,4.895420626,86.37514826,17.64407083,,,,0
