outcome,month,mmwr_week,age_group,vaccine_product,boosted_with_outcome,boosted_population,primary_series_only_with_outcome,primary_series_only_population,unvaccinated_with_outcome,unvaccinated_population,crude_booster_ir,crude_primary_series_only_ir,crude_unvax_ir,crude_booster_irr,crude_irr,age_adj_booster_ir,age_adj_vax_ir,age_adj_unvax_ir,age_adj_booster_irr,age_adj_irr,continuity_correction
case,SEP 2021,202138,18-49,all_types,111,285893,41070,45089570,137013,29637000,38.82571452,91.08536631,462.3038769,11.90715696,5.0755011,,,,,,0
case,SEP 2021,202138,50-64,all_types,123,366835,21505,25722971,37092,8209707,33.5300612,83.60231794,451.8066235,13.47467339,5.404235608,,,,,,0
case,SEP 2021,202138,65+,all_types,220,842552,20403,24729783,19615,4143926.2,26.11114804,82.50375671,473.3433718,18.12801839,5.737234166,,,,,,1
case,SEP 2021,202138,all_ages,all_types,454,1495280,82978,95542324,193720,41990633.2,30.36220641,86.84946789,461.3409831,15.19458029,5.311960963,35.59090963,88.11233456,462.0627054,12.98260455,5.24401842,1
case,SEP 2021,202138,all_ages,Janssen,11,25805,8066,8186230,193720,41990633.2,42.62739779,98.53131417,461.3409831,10.82264006,4.68217629,47.51498794,97.71914414,462.0627054,9.724567457,4.728476794,1
case,SEP 2021,202138,all_ages,Moderna,168,666269,26656,37691341,193720,41990633.2,25.21504077,70.7218138,461.3409831,18.29626163,6.523319444,34.0016006,72.98037361,462.0627054,13.58943983,6.331328309,1
case,SEP 2021,202138,all_ages,Pfizer,275,799101,48129,49600329,193720,41990633.2,34.41367236,97.03363056,461.3409831,13.40574694,4.754444211,36.91880296,97.30411,462.0627054,12.515647,4.748645308,1
case,SEP 2021,202139,18-49,all_types,125,350400,39637,45879072,118273,29069487,35.67351598,86.39451121,406.8630451,11.40518488,4.709362197,,,,,,0
case,SEP 2021,202139,50-64,all_types,139,444122,20853,25902274,33184,8051140,31.29770649,80.50644511,412.1652337,13.16918331,5.119655118,,,,,,0
case,SEP 2021,202139,65+,all_types,247,1048130,19557,24627073,17911,4013920.2,23.56577905,79.41260417,446.2221247,18.93517391,5.619034023,,,,,,1
case,SEP 2021,202139,all_ages,all_types,511,1842652,80047,96408419,169368,41134547.2,27.73176921,83.02905579,411.741496,14.84728554,4.959004917,32.72787798,84.01610427,414.6358751,12.66919522,4.935195207,1
case,SEP 2021,202139,all_ages,Janssen,11,29488,7628,8252260,169368,41134547.2,37.30330982,92.4352844,411.741496,11.03766658,4.454375823,37.10912208,91.92935244,414.6358751,11.17342184,4.510375241,1
case,SEP 2021,202139,all_ages,Moderna,186,785063,25963,37993369,169368,41134547.2,23.69236609,68.33560877,411.741496,17.37865667,6.02528467,27.68436398,70.14917044,414.6358751,14.97725848,5.910773749,1
case,SEP 2021,202139,all_ages,Pfizer,313,1023228,46379,50098498,169368,41134547.2,30.58946784,92.57562971,411.741496,13.4602373,4.447622957,35.3733028,92.59310151,414.6358751,11.72171786,4.478042839,1
case,OCT 2021,202140,18-49,all_types,168,424004,38114,46588936,105244,28574832,39.62226771,81.80912309,368.3101269,9.295533753,4.502066676,,,,,,0
case,OCT 2021,202140,50-64,all_types,142,531623,19998,26046871,30369,7912384,26.71065774,76.7769764,383.8160534,14.36939731,4.999103526,,,,,,0
case,OCT 2021,202140,65+,all_types,292,1345580,18876,24425475,16533,3913440.8,21.70067926,77.27997101,422.4671036,19.46792073,5.466708878,,,,,,1
case,OCT 2021,202140,all_ages,all_types,602,2301207,76988,97061282,152146,40400656.8,26.16018463,79.31896057,376.5928875,14.39565098,4.747829331,33.96216246,80.02126969,380.6641051,11.20847666,4.757036556,1
case,OCT 2021,202140,all_ages,Janssen,15,32725,7484,8314292,152146,40400656.8,45.83651643,90.01367765,376.5928875,8.216001495,4.183729599,42.20414931,89.92519104,380.6641051,9.019589576,4.233119783,1
case,OCT 2021,202140,all_ages,Moderna,214,902652,25356,38211744,152146,40400656.8,23.70791845,66.35656305,376.5928875,15.88468799,5.675292242,35.41263148,67.87515432,380.6641051,10.7493877,5.608298191,1
case,OCT 2021,202140,all_ages,Pfizer,371,1360245,44022,50471071,152146,40400656.8,27.27449834,87.22224262,376.5928875,13.80750922,4.317624452,32.78467172,87.03855745,380.6641051,11.6110391,4.373511192,1
case,OCT 2021,202141,18-49,all_types,173,665618,34880,46987944,90171,28141385,25.99088366,74.23180721,320.4213297,12.32821992,4.316496415,,,,,,0
case,OCT 2021,202141,50-64,all_types,168,773738,18439,25994346,26512,7789231,21.71277616,70.93465633,340.367361,15.67590245,4.79832255,,,,,,0
case,OCT 2021,202141,65+,all_types,415,2406136,16801,23473618,14826,3829304.8,17.24757038,71.5739687,387.172105,22.44792145,5.409398305,,,,,,1
case,OCT 2021,202141,all_ages,all_types,756,3845492,70120,96455908,131509,39759920.8,19.65938299,72.6964283,330.7577011,16.82441923,4.54984803,23.63783845,73.11311329,335.8166967,14.20674304,4.593111709,1
case,OCT 2021,202141,all_ages,Janssen,7,35980,6918,8371182,131509,39759920.8,19.45525292,82.64065935,330.7577011,17.00094584,4.002360384,20.67927814,82.28114292,335.8166967,16.23928526,4.081332427,1
case,OCT 2021,202141,all_ages,Moderna,193,1001794,23765,38380097,131509,39759920.8,19.26543781,61.92011448,330.7577011,17.16844976,5.341684263,22.59031182,62.95226722,335.8166967,14.86551843,5.334465485,1
case,OCT 2021,202141,all_ages,Pfizer,554,2800168,39341,49641867,131509,39759920.8,19.78452721,79.24963821,330.7577011,16.71799874,4.173617805,24.12610256,79.09274147,335.8166967,13.91922694,4.245859866,1
case,OCT 2021,202142,18-49,all_types,207,995862,33735,47229698,82893,27745993,20.78601252,71.4275158,298.7566529,14.37296608,4.182654955,,,,,,0
